Year	OECD 	BRICS	Rest 	World
1750	0.292567272870736	0.105267463267142	0.035126514871131	0.432961251009009
1751	#N/A	#N/A	#N/A	#N/A
1752	#N/A	#N/A	#N/A	#N/A
1753	#N/A	#N/A	#N/A	#N/A
1754	#N/A	#N/A	#N/A	#N/A
1755	#N/A	#N/A	#N/A	#N/A
1756	#N/A	#N/A	#N/A	#N/A
1757	#N/A	#N/A	#N/A	#N/A
1758	#N/A	#N/A	#N/A	#N/A
1759	#N/A	#N/A	#N/A	#N/A
1760	#N/A	#N/A	#N/A	#N/A
1761	#N/A	#N/A	#N/A	#N/A
1762	#N/A	#N/A	#N/A	#N/A
1763	#N/A	#N/A	#N/A	#N/A
1764	#N/A	#N/A	#N/A	#N/A
1765	#N/A	#N/A	#N/A	#N/A
1766	#N/A	#N/A	#N/A	#N/A
1767	#N/A	#N/A	#N/A	#N/A
1768	#N/A	#N/A	#N/A	#N/A
1769	#N/A	#N/A	#N/A	#N/A
1770	#N/A	#N/A	#N/A	#N/A
1771	#N/A	#N/A	#N/A	#N/A
1772	#N/A	#N/A	#N/A	#N/A
1773	#N/A	#N/A	#N/A	#N/A
1774	#N/A	#N/A	#N/A	#N/A
1775	#N/A	#N/A	#N/A	#N/A
1776	#N/A	#N/A	#N/A	#N/A
1777	#N/A	#N/A	#N/A	#N/A
1778	#N/A	#N/A	#N/A	#N/A
1779	#N/A	#N/A	#N/A	#N/A
1780	#N/A	#N/A	#N/A	#N/A
1781	#N/A	#N/A	#N/A	#N/A
1782	#N/A	#N/A	#N/A	#N/A
1783	#N/A	#N/A	#N/A	#N/A
1784	#N/A	#N/A	#N/A	#N/A
1785	#N/A	#N/A	#N/A	#N/A
1786	#N/A	#N/A	#N/A	#N/A
1787	#N/A	#N/A	#N/A	#N/A
1788	#N/A	#N/A	#N/A	#N/A
1789	#N/A	#N/A	#N/A	#N/A
1790	#N/A	#N/A	#N/A	#N/A
1791	#N/A	#N/A	#N/A	#N/A
1792	#N/A	#N/A	#N/A	#N/A
1793	#N/A	#N/A	#N/A	#N/A
1794	#N/A	#N/A	#N/A	#N/A
1795	#N/A	#N/A	#N/A	#N/A
1796	#N/A	#N/A	#N/A	#N/A
1797	#N/A	#N/A	#N/A	#N/A
1798	#N/A	#N/A	#N/A	#N/A
1799	#N/A	#N/A	#N/A	#N/A
1800	#N/A	#N/A	#N/A	#N/A
1801	#N/A	#N/A	#N/A	#N/A
1802	#N/A	#N/A	#N/A	#N/A
1803	#N/A	#N/A	#N/A	#N/A
1804	#N/A	#N/A	#N/A	#N/A
1805	#N/A	#N/A	#N/A	#N/A
1806	#N/A	#N/A	#N/A	#N/A
1807	#N/A	#N/A	#N/A	#N/A
1808	#N/A	#N/A	#N/A	#N/A
1809	#N/A	#N/A	#N/A	#N/A
1810	#N/A	#N/A	#N/A	#N/A
1811	#N/A	#N/A	#N/A	#N/A
1812	#N/A	#N/A	#N/A	#N/A
1813	#N/A	#N/A	#N/A	#N/A
1814	#N/A	#N/A	#N/A	#N/A
1815	#N/A	#N/A	#N/A	#N/A
1816	#N/A	#N/A	#N/A	#N/A
1817	#N/A	#N/A	#N/A	#N/A
1818	#N/A	#N/A	#N/A	#N/A
1819	#N/A	#N/A	#N/A	#N/A
1820	0.389673797588778	0.139482705934875	0.0486452810795752	0.577801784603228
1821	0.0897177398110347	#N/A	#N/A	0.0897177398110347
1822	0.0875134089540612	#N/A	#N/A	0.0875134089540612
1823	0.0907913795167108	#N/A	#N/A	0.0907913795167108
1824	0.093895243545995	#N/A	#N/A	0.093895243545995
1825	0.0913124958752272	#N/A	#N/A	0.0913124958752272
1826	0.0931098415266606	#N/A	#N/A	0.0931098415266606
1827	0.0928205860650934	#N/A	#N/A	0.0928205860650934
1828	0.0939228743341328	#N/A	#N/A	0.0939228743341328
1829	0.0961181389422785	#N/A	#N/A	0.0961181389422785
1830	0.281560381162336	#N/A	#N/A	0.281560381162336
1831	0.166857448749519	#N/A	#N/A	0.166857448749519
